name	pubchem_id	formula	neutral_mass	mz	mz_threshold	adducts	rt_max	rt_min	rt_peak
2'-Deoxyuridine	0	C9H12N2O5	228.074624	229.0819	5	H+	3.83	3.43	3.63
Adenine	0	C5H5N5	135.054524	136.0618	5	H+	5.23	4.83	5.03
Adenosine	0	C10H13N5O4	267.096724	268.104	5	H+	5.27	4.87	5.07
Glycine betaine	0	C5H11NO2	117.079024	118.0863	5	H+	7.44	7.04	7.24
Xanthine	0	C5H4N4O2	152.033424	153.0407	5	H+	7.03	6.63	6.83
Inosine	0	C10H12N4O5	268.080724	269.088	5	H+	7.54	7.14	7.34
L-Isoleucine	0	C6H13NO2	131.094624	132.1019	5	H+	8.15	7.75	7.95
L-Phenylalanine	0	C9H11NO2	165.079024	166.0863	5	H+	8.18	7.78	7.98
L-Leucine	0	C6H13NO2	131.094624	132.1019	5	H+	8.49	8.138	8.31
Guanine	0	C5H5N5O	151.049424	152.0567	5	H+	8.46	8.06	8.26
L-Tryptophan	0	C11H12N2O2	204.089924	205.0972	5	H+	9.15	8.75	8.95
L-Methionine	0	C5H11NO2S	149.051024	150.0583	5	H+	9.16	8.76	8.96
L-Proline	0	C5H9NO2	115.063324	116.0706	5	H+	9.6	9	9.3
Guanosine	0	C10H13N5O5	283.091624	284.0989	5	H+	9.44	9.04	9.24
Histidine betaine	0	C9H15N3O2	197.116424	198.1237	5	H+	9.57	9.17	9.37
L-Valine	0	C5H11NO2	117.079024	118.0863	5	H+	9.54	9.14	9.34
L-Tyrosine	0	C9H11NO3	181.073924	182.0812	5	H+	10.58	10.18	10.38
Glucose	0	C6H12O6	180.063424	203.052642	5	H+	11.65	11.1	11.35
yGluLeu	0	C11H20N2O5	260.137224	261.1445	5	H+	11.38	10.98	11.18
yGluPhe	0	C14H18N2O5	294.121524	295.1288	5	H+	11.38	10.98	11.18
yGluIle	0	C11H20N2O5	260.137224	261.1445	5	H+	11.43	11.03	11.23
Mercaptohistidine betaine	0	C9H15N3O2S	229.088524	230.0958	5	H+	11.55	11.15	11.35
L-Threonine	0	C4H9NO3	119.158224	120.1655	5	H+	11.99	11.59	11.79
2Hex	0	C12H22O11	342.116224	343.1235	5	H+	13.56	13.16	13.36
L-Citrulline	0	C6H13N3O3	175.095724	176.103	5	H+	13.63	13.23	13.43
L-Glutamic Acid	0	C5H9NO4	147.053124	148.0604	5	H+	14.06	13.66	13.86
3Hex	0	C18H32O16	504.169024	505.1763	5	H+	15.34	14.94	15.14
AspArg	0	C10H19N5O5	289.138624	290.1459	5	H+	16.91	16.51	16.71
