compound	141115_ANS3_Pos.mzML	141115_ANS2_Pos.mzML	141115_ANS1_Pos.mzML	141115_ANC3_Pos.mzML	141115_ANC2_Pos.mzML	141115_ANC1_Pos.mzML	141115_C1C_Pos.mzML	141115_C2C_Pos.mzML	141115_C3C_Pos.mzML	141115_C4C_Pos.mzML	141115_C5C_Pos.mzML	141115_C6C_Pos.mzML	141115_S1C_Pos.mzML	141115_S2C_Pos.mzML	141115_S3C_Pos.mzML	141115_S4C_Pos.mzML	141115_S5C_Pos.mzML	141115_S6C_Pos.mzML	141115_S6S_Pos.mzML	141115_S5S_Pos.mzML	141115_S4S_Pos.mzML	141115_S3S_Pos.mzML	141115_S2S_Pos.mzML	141115_S1S_Pos.mzML	141115_C6S_Pos.mzML	141115_C5S_Pos.mzML	141115_C4S_Pos.mzML	141115_C3S_Pos.mzML	141115_C2S_Pos.mzML	141115_C1S_Pos.mzML	
2Hex*	4024.94	7457.03	11022.14	7537.02	4368.40	5102.15	5160.28	6996.31	6643.54	6717.99	10948.63	9161.30	11474.98	18058.82	21859.80	18773.16	19041.23	7171.36	8463.10	7966.41	10740.99	10786.75	9300.95	15692.00	12296.77	8935.83	3642.88	13508.21	10467.69	16712.51	
acetylglutamate*	595297.21	479821.57	994620.90	1017026.40	521383.25	513574.02	510249.39	427472.08	592531.33	536232.98	546327.02	652600.46	216389.41	810151.40	721434.68	927145.10	532327.94	619298.78	470402.37	875658.43	750227.11	284090.00	492565.43	801739.16	668230.98	558842.88	411580.83	788030.31	870067.69	809708.60	
adenosine	2372238.26	6220467.66	11096433.96	8727972.44	2449546.60	1502242.44	28389003.11	10049575.46	6264862.04	8011856.78	4157580.26	3670425.39	13316042.52	9779927.24	12511726.89	10966139.70	10320718.68	4390617.82	11930311.43	10862105.98	6726715.65	6011309.31	5781063.84	6779004.95	6784282.38	10176819.05	7894321.96	10159782.23	6787424.40	36912139.62	
arginine	2229347.31	36825018.00	18700491.29	10477555.50	5119685.88	1427900.66	49713470.66	60024897.76	23058535.21	57791894.90	86224658.21	12300830.13	90751910.14	73423694.30	117559762.50	144116993.30	76394247.10	99648197.30	103696188.62	59520352.10	113393516.70	80741221.66	45889058.87	101432125.40	29432009.13	56597891.45	27036336.21	10628548.77	16085279.50	27206804.24	
aspartate*	2160326.38	1035683.16	914739.07	1299829.92	1651806.96	954503.81	756592.16	484125.30	1066220.76	416271.37	528712.27	571336.31	798028.07	774685.96	1025235.26	1371151.43	823294.92	981662.18	812519.09	776587.69	577791.35	452602.29	539660.53	945745.30	649714.02	700886.41	385659.00	552197.46	685074.25	627484.07	
citrulline	 0.00	7830.45	 0.00	3392.96	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	123535.98	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	3203.04	 0.00	
coenzyme A	 0.00	 0.00	 0.00	204.08	 0.00	 0.00	 0.00	1904.40	 0.00	888.73	1733.84	 0.00	 0.00	1473.36	3471.59	1207.63	3444.41	1261.32	416.97	 0.00	1535.23	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	
crotonic acid	1730304.74	3274338.83	555917.75	1269960.80	1474465.04	1858140.04	810977.45	998385.77	1806280.29	492719.46	667133.11	1163434.83	2238448.07	423460.07	515988.91	512684.45	607890.59	623041.97	810312.98	385508.71	241967.62	641538.19	1061426.54	533437.08	377607.67	380355.03	869102.67	949183.35	1233256.66	936145.51	
ectoine	16547.10	100462.62	248603.53	252539.84	30967.69	16402.40	19927.41	56368.13	27187.95	37988.55	41686.84	26356.22	34116.76	57483.83	79734.68	100999.05	42070.04	41291.01	541369.39	1322037.52	732042.59	141943.59	342322.23	786824.24	73165.79	340210.66	106103.86	309386.26	258547.65	244900.85	
glutamine	639652.76	1920215.63	2009796.92	1415444.68	712965.94	539879.38	2370198.51	3233336.35	1624177.36	1666600.13	2434364.21	931074.37	5074207.21	2184363.43	2559088.02	2506590.78	2619120.24	4769393.78	4472937.29	1725292.63	1963153.44	4858641.60	1795628.66	2245756.68	1205446.17	2326360.90	2508781.43	941017.37	1365987.69	1752562.61	
